"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:MFS_IR(8.0.1)","JAM.MFS166_RT_PT_A_PT.A","OBS_VALUE","Jamaica","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.95","15.0","14.4","12.95","12.6","11.65","12.65","17.0","10.5","8.0","6.25","6.25","5.75","5.25","5.0","3.25","1.75","0.5","0.5","2.5","7.0","",""
"IMF.STA:MFS_IR(8.0.1)","GMB.MFS166_RT_PT_A_PT.A","OBS_VALUE","Gambia, The","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","21.0","19.0","18.0","19.5","18.5","22.5","18.5","18.5","19.0","19.0","19.0","17.0","15.5","15.0","18.0","23.0","34.0","33.0","19.0","14.0","15.0","16.0","14.0","15.0","14.0","12.0","20.0","22.0","23.0","23.0","15.0","13.5","12.5","10.0","10.0","13.0","17.0",""
"IMF.STA:MFS_IR(8.0.1)","G759.MFS166_RT_PT_A_PT.A","OBS_VALUE","West African Economic and Monetary Union (WAEMU)","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","3.5","3.0","3.0","3.25","3.25","3.75","3.25","3.25","3.25","3.0","2.5","2.5","2.5","2.5","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","USA.MFS166_RT_PT_A_PT.A","OBS_VALUE","United States","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.38","8.13","7.75","5.88","6.81","8.69","8.25","7.0","4.0","3.0","3.0","5.5","5.5","5.25","5.5","4.75","5.5","6.5","1.75","1.25","1.0","2.25","4.25","5.25","4.25","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.375","0.625","1.375","2.375","1.625","0.125","0.125","4.375","5.375","4.375"
"IMF.STA:MFS_IR(8.0.1)","KGZ.MFS166_RT_PT_A_PT.A","OBS_VALUE","Kyrgyz Republic","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.29","7.95","4.43","3.97","4.0","4.13","3.15","8.79","15.22","0.9","5.5","13.61","2.64","4.17","10.5","10.0","5.0","5.0","4.75","4.25","5.0","8.0","13.0","13.0",""
"IMF.STA:MFS_IR(8.0.1)","STP.MFS166_RT_PT_A_PT.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0","25.0","45.0","45.0","30.0","32.0","50.0","35.0","55.0","29.5","17.0","17.0","15.5","15.5","14.5","14.5","18.2","28.0","28.0","28.0","16.0","15.0","15.0","14.0","14.0","12.0","10.0","10.0","9.0","9.0","9.0","","","","10.0",""
"IMF.STA:MFS_IR(8.0.1)","GNB.MFS166_RT_PT_A_PT.A","OBS_VALUE","Guinea-Bissau","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","3.5","3.0","3.0","3.25","3.25","3.75","3.25","3.25","3.25","3.0","2.5","2.5","2.5","2.5","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","CRI.MFS166_RT_PT_A_PT.A","OBS_VALUE","Costa Rica","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.52","10.0","9.0","6.5","5.0","5.0","3.75","5.25","2.25","1.75","4.75","5.25","2.75","0.75","1.25","9.0","6.0","4.0"
"IMF.STA:MFS_IR(8.0.1)","NGA.MFS166_RT_PT_A_PT.A","OBS_VALUE","Nigeria","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","9.75","6.0","6.25","12.0","12.0","12.0","13.0","11.0","14.0","14.0","14.0","13.5","11.5","11.5","16.5","18.75",""
"IMF.STA:MFS_IR(8.0.1)","CPV.MFS166_RT_PT_A_PT.A","OBS_VALUE","Cabo Verde","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","3.75","3.5","3.5","1.5","1.5","1.5","0.25","0.25","0.25","1.25",""
"IMF.STA:MFS_IR(8.0.1)","ZAF.MFS166_RT_PT_A_PT.A","OBS_VALUE","South Africa","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","12.0","9.5","13.5","8.0","7.5","7.0","9.0","11.0","11.5","7.0","5.5","5.5","5.0","5.0","5.75","6.25","7.0","6.75","6.75","6.5","3.5","3.75","7.0","8.25","7.75"
"IMF.STA:MFS_IR(8.0.1)","COD.MFS166_RT_PT_A_PT.A","OBS_VALUE","Congo, Democratic Republic of the","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0","22.5","40.0","70.0","22.0","20.0","4.0","2.0","2.0","2.0","7.0","20.0","14.0","14.0","18.5","7.5","","",""
"IMF.STA:MFS_IR(8.0.1)","EGY.MFS166_RT_PT_A_PT.A","OBS_VALUE","Egypt, Arab Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.25","19.25","17.25","12.75","8.75","8.75","16.75","19.75","27.75"
"IMF.STA:MFS_IR(8.0.1)","SLE.MFS166_RT_PT_A_PT.A","OBS_VALUE","Sierra Leone","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","5.5","6.5","6.5","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","8.0","8.0","10.0","12.0","12.0","12.0","14.0","14.0","14.0","16.0","16.0","16.0","16.0","55.0","55.0","","","","","","","","","","","","","","","","","","","","","20.0","10.0","10.0","9.5","11.0","14.5","16.5","16.5","14.0","14.25","17.0","22.25","24.75"
"IMF.STA:MFS_IR(8.0.1)","CIV.MFS166_RT_PT_A_PT.A","OBS_VALUE","Côte d'Ivoire","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","3.5","3.0","3.0","3.25","3.25","3.75","3.25","3.25","3.25","3.0","2.5","2.5","2.5","2.5","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","HND.MFS166_RT_PT_A_PT.A","OBS_VALUE","Honduras","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","7.5","7.75","4.5","4.5","5.5","7.0","7.0","7.0","6.25","5.5","5.5","5.5","5.5","3.0","3.0","3.0","3.0","5.75"
"IMF.STA:MFS_IR(8.0.1)","BFA.MFS166_RT_PT_A_PT.A","OBS_VALUE","Burkina Faso","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","3.5","3.0","3.0","3.25","3.25","3.75","3.25","3.25","3.25","3.0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.0","","","",""
"IMF.STA:MFS_IR(8.0.1)","BLR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Belarus, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.0","66.0","38.0","28.0","17.0","11.0","10.0","10.0","12.0","13.5","10.5","45.0","30.0","23.5","20.0","25.0","18.0","11.0","10.0","9.0","7.75","9.25","12.0","9.5","9.5"
"IMF.STA:MFS_IR(8.0.1)","URY.MFS166_RT_PT_A_PT.A","OBS_VALUE","Uruguay","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","6.5","8.75","9.0","","","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","CHL.MFS166_RT_PT_A_PT.A","OBS_VALUE","Chile","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","6.5","8.33","5.0","5.0","6.5","3.0","2.25","2.25","4.5","5.25","6.0","8.25","0.5","3.25","5.25","5.0","4.5","3.0","3.5","3.5","2.5","2.75","1.75","0.5","4.0","11.25","8.25","5.0"
"IMF.STA:MFS_IR(8.0.1)","MUS.MFS166_RT_PT_A_PT.A","OBS_VALUE","Mauritius","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.25","6.75","5.75","4.75","5.4","4.9","4.65","4.65","4.4","4.0","3.5","3.5","3.35","1.85","1.85","4.5","4.5","4.0"
"IMF.STA:MFS_IR(8.0.1)","KEN.MFS166_RT_PT_A_PT.A","OBS_VALUE","Kenya","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.75","8.5","7.0","6.0","18.0","11.0","8.5","8.5","11.5","10.0","10.0","9.0","8.5","7.0","7.0","8.75","10.5",""
"IMF.STA:MFS_IR(8.0.1)","ALB.MFS166_RT_PT_A_PT.A","OBS_VALUE","Albania","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","6.5","5.25","5.0","5.5","6.25","6.25","5.25","5.0","4.75","4.0","3.0","2.25","1.75","1.25","1.25","1.0","1.0","0.5","0.5","2.75","3.25","2.75"
"IMF.STA:MFS_IR(8.0.1)","FJI.MFS166_RT_PT_A_PT.A","OBS_VALUE","Fiji, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","1.25","1.75","2.25","4.25","","","","","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.25","0.25","0.25","0.25","0.25"
"IMF.STA:MFS_IR(8.0.1)","KOR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Korea, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25","4.0","4.25","3.75","3.25","3.75","4.5","5.0","3.0","2.0","2.5","3.25","2.75","2.5","2.0","1.5","1.25","1.5","1.75","1.25","0.5","1.0","3.25","3.5","3.0"
"IMF.STA:MFS_IR(8.0.1)","BGD.MFS166_RT_PT_A_PT.A","OBS_VALUE","Bangladesh","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","5.0","5.0","8.0","8.0","8.0","8.0","8.0","8.0","10.5","10.5","10.5","10.5","10.5","11.25","10.75","10.75","10.75","10.75","9.75","9.25","8.5","6.0","5.5","6.0","7.0","8.0","8.0","7.0","7.0","6.0","6.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0","4.0"
"IMF.STA:MFS_IR(8.0.1)","MNG.MFS166_RT_PT_A_PT.A","OBS_VALUE","Mongolia","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.75","10.0","11.0","12.25","13.25","10.5","12.0","13.0","14.0","11.0","11.0","11.0","6.0","6.0","","",""
"IMF.STA:MFS_IR(8.0.1)","PNG.MFS166_RT_PT_A_PT.A","OBS_VALUE","Papua New Guinea","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0","14.0","7.0","6.0","6.0","6.0","8.0","7.0","7.0","7.75","6.75","6.25","6.25","6.25","6.25","6.25","6.25","5.0","3.0","3.0","3.25","",""
"IMF.STA:MFS_IR(8.0.1)","RUS.MFS166_RT_PT_A_PT.A","OBS_VALUE","Russian Federation","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0","16.0","13.0","12.0","11.0","10.0","13.0","8.75","7.75","8.0","8.25","5.5","17.0","11.0","10.0","7.75","7.75","6.25","4.25","8.5","7.5","16.0",""
"IMF.STA:MFS_IR(8.0.1)","NZL.MFS166_RT_PT_A_PT.A","OBS_VALUE","New Zealand","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","4.75","5.75","5.0","6.5","7.25","7.25","8.25","5.0","2.5","3.0","2.5","2.5","2.5","3.5","2.5","1.75","1.75","1.75","1.0","0.25","0.75","4.25","5.5","4.25"
"IMF.STA:MFS_IR(8.0.1)","JOR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Jordan","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","5.25","4.75","4.0","2.5","2.0","2.25","4.0","3.5","2.75","1.5","1.75","3.0","4.0","3.25","2.0","2.0","6.25","","6.25"
"IMF.STA:MFS_IR(8.0.1)","BHS.MFS166_RT_PT_A_PT.A","OBS_VALUE","Bahamas, The","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.0","11.0","9.0","10.0","9.0","9.5","8.5","7.5","7.5","9.0","9.0","9.0","9.0","7.5","7.0","6.5","6.5","6.5","6.5","6.5","5.75","5.75","5.75","5.75","5.75","5.75","5.25","5.25","5.25","5.25","5.25","5.25","4.5","4.5","4.5","4.5","4.5","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"IMF.STA:MFS_IR(8.0.1)","HUN.MFS166_RT_PT_A_PT.A","OBS_VALUE","Hungary","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","10.5","10.5","14.0","17.0","22.0","22.0","21.0","22.0","25.0","28.0","23.0","20.5","17.0","14.5","11.0","9.75","8.5","12.5","9.5","6.0","8.0","7.5","10.0","6.25","5.75","7.0","5.75","3.0","2.1","1.35","0.9","0.9","0.9","0.9","0.6","2.4","13.0","10.75",""
"IMF.STA:MFS_IR(8.0.1)","CZE.MFS166_RT_PT_A_PT.A","OBS_VALUE","Czech Republic","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","14.75","9.5","5.25","5.25","4.75","2.75","2.0","2.5","2.0","2.5","3.5","2.25","1.0","0.75","0.75","0.05","0.05","0.05","0.05","0.05","0.5","1.75","2.0","0.25","3.75","7.0","6.75",""
"IMF.STA:MFS_IR(8.0.1)","PER.MFS166_RT_PT_A_PT.A","OBS_VALUE","Peru","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.25","4.5","5.0","6.5","1.25","3.0","4.25","4.25","4.0","3.5","3.75","4.25","3.25","2.75","2.25","0.25","2.5","7.5","",""
"IMF.STA:MFS_IR(8.0.1)","ISL.MFS166_RT_PT_A_PT.A","OBS_VALUE","Iceland","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63","5.16","7.92","9.97","13.3","13.75","18.0","9.125","3.875","4.125","5.375","5.375","4.5","5.75","5.0","4.25","4.5","3.0","0.75","2.0","6.0","9.25","8.5"
"IMF.STA:MFS_IR(8.0.1)","POL.MFS166_RT_PT_A_PT.A","OBS_VALUE","Poland, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","16.5","19.0","11.5","6.75","5.25","6.5","4.5","4.0","5.0","5.0","3.5","3.5","4.5","4.25","2.5","2.0","1.5","1.5","1.5","1.5","1.5","0.1","1.75","6.75","5.75",""
"IMF.STA:MFS_IR(8.0.1)","JPN.MFS166_RT_PT_A_PT.A","OBS_VALUE","Japan","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.1","0.1","0.05","0.05","0.05","","","","","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","0.25"
"IMF.STA:MFS_IR(8.0.1)","NOR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Norway","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.199999999","10.0","10.2","10.7","14.8","13.8","12.0","11.0","10.5","10.0","11.0","7.0","6.75","6.75","6.0","5.5","10.0","7.5","9.0","6.5","6.5","2.25","1.75","2.25","3.5","5.25","3.0","1.75","2.0","1.75","1.5","1.5","1.25","0.75","0.5","0.5","0.75","1.5","0.0","0.5","2.75","4.5","4.5"
"IMF.STA:MFS_IR(8.0.1)","ROU.MFS166_RT_PT_A_PT.A","OBS_VALUE","Romania","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0","34.1","35.0","40.0","35.0","35.0","35.0","","","21.25","17.0","7.5","8.75","7.5","10.25","8.0","6.25","6.0","5.25","4.0","2.75","1.75","1.75","1.75","2.5","2.5","1.5","1.75","6.75","7.0","6.5"
"IMF.STA:MFS_IR(8.0.1)","UZB.MFS166_RT_PT_A_PT.A","OBS_VALUE","Uzbekistan, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","10.0","9.0","9.0","14.0","16.0","16.0","14.0","14.0","15.0","14.0","13.5"
"IMF.STA:MFS_IR(8.0.1)","HKG.MFS166_RT_PT_A_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","6.25","6.0","7.0","6.25","7.0","8.0","3.25","2.75","2.5","3.75","5.75","6.75","5.75","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.75","1.0","1.75","2.75","2.49","0.5","0.5","4.75","5.75","4.75"
"IMF.STA:MFS_IR(8.0.1)","ARG.MFS166_RT_PT_A_PT.A","OBS_VALUE","Argentina","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.63","1.67","2.5","5.0","6.25","10.75","12.05","9.5","9.5","9.5","9.5","9.5","26.8599","33.0009","24.7503","28.75","59.252","55.0","38.0","38.0","75.0","100.0","32.0"
